Velocity,relax_u,relax_p,Iterations for convergence,magnitude of velocity,res_ux,res_uy,res_p,reward
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,1.000000000000000000e+02,8.670424747467041016e+01,2.996210000000000019e-03,6.671879999999999825e-03,3.695570000000000105e-02,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,2.000000000000000000e+02,8.956010341644287109e+01,1.654110000000000085e-03,7.348949999999999927e-03,1.916810000000000042e-02,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,6.999999999999999556e-01,3.000000000000000000e+02,9.082926177978515625e+01,2.280550000000000112e-03,7.981089999999999712e-03,1.352620000000000038e-02,0.000000000000000000e+00
7.333000000000000185e+00,6.406913995742797852e-01,4.646912515163421631e-01,4.000000000000000000e+02,9.154562473297119141e+01,1.256979999999999990e-03,5.770250000000000205e-03,4.557069999999999871e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.999999999999999556e-01,5.000000000000000000e+02,9.207833003997802734e+01,6.507149999999999523e-04,3.382959999999999960e-03,2.332310000000000199e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,6.928399205207824707e-01,6.000000000000000000e+02,9.268591403961181641e+01,6.482330000000000123e-04,3.746030000000000020e-03,2.542179999999999787e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,7.000000000000000000e+02,9.290652179718017578e+01,5.102260000000000172e-04,3.333529999999999913e-03,2.089839999999999927e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,8.000000000000000000e+02,9.317839336395263672e+01,6.569889999999999671e-04,3.674010000000000123e-03,2.727890000000000176e-03,0.000000000000000000e+00
7.333000000000000185e+00,6.999999999999999556e-01,4.000000000000000222e-01,9.000000000000000000e+02,9.315986251831054688e+01,3.917950000000000122e-04,2.339579999999999958e-03,1.869100000000000058e-03,0.000000000000000000e+00
7.333000000000000185e+00,5.000000000000000000e-01,4.000000000000000222e-01,9.700000000000000000e+02,9.321422195434570312e+01,1.426809999999999982e-04,9.972670000000000319e-04,1.460530000000000031e-03,-9.700000000000000000e+02
7.333000000000000185e+00,5.000000000000000000e-01,6.144680976867675781e-01,1.000000000000000000e+02,8.659820365905761719e+01,3.078930000000000122e-03,7.696999999999999849e-03,3.078979999999999911e-02,0.000000000000000000e+00
