episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,perf/cpu_util_percent,perf/ram_util_percent,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
10520.0,-36750.0,-9792.857142857143,4000.0,2,2500,False,33000,7,13,1cea942ee6e04492b797d596ced16778,2020-06-12_21-50-35,1591998635,12.209861040115356,172.55343079566956,60524,nid03830,10.236.16.110,172.55343079566956,33000,13,33000,33000,661,0,0.6411764705882353,2.7,204.999,48.945,nan,nan,2151.61,66,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10520.0,-36750.0,-8843.75,4000.0,1,2500,False,35500,8,14,1cea942ee6e04492b797d596ced16778,2020-06-12_21-50-46,1591998646,11.436822891235352,183.9902536869049,60524,nid03830,10.236.16.110,183.9902536869049,35500,14,35500,35500,710,0,0.6625,2.7,190.903,48.294000000000004,nan,nan,2312.4230000000002,71,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10520.0,-36750.0,-8843.75,4000.0,0,2000,False,37500,8,15,1cea942ee6e04492b797d596ced16778,2020-06-12_21-50-58,1591998658,11.566412687301636,195.55666637420654,60524,nid03830,10.236.16.110,195.55666637420654,37500,15,37500,37500,759,0,0.5941176470588235,2.7,207.76,48.809,nan,nan,2334.248,75,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10520.0,-36750.0,-8843.75,4000.0,0,2500,False,40000,8,16,1cea942ee6e04492b797d596ced16778,2020-06-12_21-51-09,1591998669,11.334056854248047,206.8907232284546,60524,nid03830,10.236.16.110,206.8907232284546,40000,16,40000,40000,806,0,0.64375,2.7,208.852,22.321,nan,nan,2391.491,80,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10520.0,-36750.0,-8843.75,4000.0,0,2500,False,42500,8,17,1cea942ee6e04492b797d596ced16778,2020-06-12_21-51-20,1591998680,11.135752201080322,218.0264754295349,60524,nid03830,10.236.16.110,218.0264754295349,42500,17,42500,42500,851,0,0.65,2.7,200.616,22.085,nan,nan,2421.005,85,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
10520.0,-36750.0,-8843.75,4000.0,0,2000,False,44500,8,18,1cea942ee6e04492b797d596ced16778,2020-06-12_21-51-32,1591998692,11.82735013961792,229.85382556915283,60524,nid03830,10.236.16.110,229.85382556915283,44500,18,44500,44500,898,0,0.6375,2.7,200.365,22.581,nan,nan,2467.629,89,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-5815.454545454545,4000.0,3,2500,False,47000,11,19,1cea942ee6e04492b797d596ced16778,2020-06-12_21-51-44,1591998704,12.028848886489868,241.8826744556427,60524,nid03830,10.236.16.110,241.8826744556427,47000,19,47000,47000,945,0,0.6444444444444445,2.7,196.96,23.403000000000002,nan,nan,2517.381,94,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-5815.454545454545,4000.0,0,2000,False,49000,11,20,1cea942ee6e04492b797d596ced16778,2020-06-12_21-51-57,1591998717,12.222540140151978,254.10521459579468,60524,nid03830,10.236.16.110,254.10521459579468,49000,20,49000,49000,989,0,0.6058823529411764,2.7,226.69400000000002,22.497,nan,nan,2522.717,98,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-5815.454545454545,4000.0,0,2500,False,51500,11,21,1cea942ee6e04492b797d596ced16778,2020-06-12_21-52-09,1591998729,11.998673677444458,266.10388827323914,60524,nid03830,10.236.16.110,266.10388827323914,51500,21,51500,51500,1034,0,0.6529411764705884,2.7,160.573,22.587,nan,nan,2655.55,103,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-4300.833333333333,4000.0,1,2000,False,53500,12,22,1cea942ee6e04492b797d596ced16778,2020-06-12_21-52-21,1591998741,12.00757646560669,278.1114647388458,60524,nid03830,10.236.16.110,278.1114647388458,53500,22,53500,53500,1077,0,0.5705882352941176,2.7,282.254,22.545,nan,nan,2744.204,107,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-4300.833333333333,4000.0,0,2500,False,56000,12,23,1cea942ee6e04492b797d596ced16778,2020-06-12_21-52-32,1591998752,11.54080867767334,289.65227341651917,60524,nid03830,10.236.16.110,289.65227341651917,56000,23,56000,56000,1120,0,0.6470588235294118,2.7,160.803,22.208000000000002,nan,nan,2641.982,112,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-4300.833333333333,4000.0,0,2000,False,58000,12,24,1cea942ee6e04492b797d596ced16778,2020-06-12_21-52-45,1591998765,12.429741144180298,302.08201456069946,60524,nid03830,10.236.16.110,302.08201456069946,58000,24,58000,58000,1164,0,0.6411764705882353,2.7,247.026,21.286,nan,nan,2734.731,116,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-4300.833333333333,4000.0,0,2000,False,60000,12,25,1cea942ee6e04492b797d596ced16778,2020-06-12_21-52-58,1591998778,12.558293104171753,314.6403076648712,60524,nid03830,10.236.16.110,314.6403076648712,60000,25,60000,60000,1208,0,0.6333333333333333,2.7,231.318,21.132,nan,nan,2766.449,120,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-2373.5714285714284,4000.0,2,2500,False,62500,14,26,1cea942ee6e04492b797d596ced16778,2020-06-12_21-53-10,1591998790,12.030274391174316,326.67058205604553,60524,nid03830,10.236.16.110,326.67058205604553,62500,26,62500,62500,1250,0,0.6352941176470589,2.7,244.77,22.045,nan,nan,2854.022,125,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-1456.6666666666667,4000.0,1,2000,False,64500,15,27,1cea942ee6e04492b797d596ced16778,2020-06-12_21-53-22,1591998802,11.959641218185425,338.63022327423096,60524,nid03830,10.236.16.110,338.63022327423096,64500,27,64500,64500,1290,0,0.6176470588235294,2.7,199.78300000000002,22.426000000000002,nan,nan,2881.704,129,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
13640.0,-36750.0,-1456.6666666666667,4000.0,0,2000,False,66500,15,28,1cea942ee6e04492b797d596ced16778,2020-06-12_21-53-34,1591998814,12.134050130844116,350.7642734050751,60524,nid03830,10.236.16.110,350.7642734050751,66500,28,66500,66500,1330,0,0.6388888888888888,2.7,227.673,22.387,nan,nan,2913.368,133,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
